username,repo_name,url,stars
ljianshu,Blog,https://github.com/ljianshu/Blog,7.3k
metafizzy,infinite-scroll,https://github.com/metafizzy/infinite-scroll,7.2k
developit,unfetch,https://github.com/developit/unfetch,5.4k
jquery-form,form,https://github.com/jquery-form/form,5.2k
olifolkerd,tabulator,https://github.com/olifolkerd/tabulator,4.9k
Studio-42,elFinder,https://github.com/Studio-42/elFinder,4.3k
ded,reqwest,https://github.com/ded/reqwest,2.9k
dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,2.9k
elbywan,wretch,https://github.com/elbywan/wretch,2.4k
LeaVerou,bliss,https://github.com/LeaVerou/bliss,2.4k
wendux,ajax-hook,https://github.com/wendux/ajax-hook,2.1k
noelboss,featherlight,https://github.com/noelboss/featherlight,2.1k
craftpip,jquery-confirm,https://github.com/craftpip/jquery-confirm,1.8k
ptaoussanis,sente,https://github.com/ptaoussanis/sente,1.7k
nette,tracy,https://github.com/nette/tracy,1.6k
joaomilho,Enterprise,https://github.com/joaomilho/Enterprise,1.5k
loadingio,css-spinner,https://github.com/loadingio/css-spinner,1.4k
u014427391,jeeplatform,https://github.com/u014427391/jeeplatform,1.4k
MoOx,pjax,https://github.com/MoOx/pjax,1.3k
codingforentrepreneurs,eCommerce,https://github.com/codingforentrepreneurs/eCommerce,1.3k
